time;GPU;sm;tw;block_m;kw;
17.0729;1;1;8;1;2;
17.0864;1;1;16;1;2;
19.0473;1;1;32;1;2;
19.0037;1;1;12;1;2;
67.5983;1;1;8;1;4;
53.7333;1;1;16;1;4;
53.6525;1;1;32;1;4;
55.5841;1;1;12;1;4;
149.1935;1;1;8;1;6;
107.0759;1;1;16;1;6;
109.2978;1;1;32;1;6;
118.3755;1;1;12;1;6;
255.8704;1;1;8;1;8;
189.6685;1;1;16;1;8;
193.9400;1;1;32;1;8;
0.0000;1;1;12;1;8;
0.0000;1;1;8;1;10;
296.9261;1;1;16;1;10;
303.3776;1;1;32;1;10;
0.0000;1;1;12;1;10;
0.0000;1;1;8;1;12;
428.2776;1;1;16;1;12;
437.8209;1;1;32;1;12;
0.0000;1;1;12;1;12;
0.0000;1;1;8;1;14;
0.0000;1;1;16;1;14;
600.7668;1;1;32;1;14;
0.0000;1;1;12;1;14;
0.0000;1;1;8;1;16;
0.0000;1;1;16;1;16;
828.7244;1;1;32;1;16;
0.0000;1;1;12;1;16;
0.0000;1;1;8;1;18;
0.0000;1;1;16;1;18;
1033.1670;1;1;32;1;18;
0.0000;1;1;12;1;18;
0.0000;1;1;8;1;20;
0.0000;1;1;16;1;20;
0.0000;1;1;32;1;20;
0.0000;1;1;12;1;20;
16.8957;1;1;8;2;2;
16.9398;1;1;16;2;2;
18.0891;1;1;32;2;2;
18.8190;1;1;12;2;2;
66.9584;1;1;8;2;4;
56.9097;1;1;16;2;4;
53.2158;1;1;32;2;4;
56.4026;1;1;12;2;4;
107.5230;1;1;8;2;6;
145.1731;1;1;16;2;6;
109.4084;1;1;32;2;6;
119.8294;1;1;12;2;6;
190.4288;1;1;8;2;8;
191.4460;1;1;16;2;8;
193.7060;1;1;32;2;8;
0.0000;1;1;12;2;8;
372.2841;1;1;8;2;10;
299.9469;1;1;16;2;10;
304.6889;1;1;32;2;10;
0.0000;1;1;12;2;10;
430.7257;1;1;8;2;12;
433.8255;1;1;16;2;12;
439.3696;1;1;32;2;12;
481.4080;1;1;12;2;12;
0.0000;1;1;8;2;14;
591.3845;1;1;16;2;14;
599.7294;1;1;32;2;14;
655.8259;1;1;12;2;14;
0.0000;1;1;8;2;16;
773.6602;1;1;16;2;16;
785.6839;1;1;32;2;16;
0.0000;1;1;12;2;16;
0.0000;1;1;8;2;18;
0.0000;1;1;16;2;18;
1027.5288;1;1;32;2;18;
0.0000;1;1;12;2;18;
0.0000;1;1;8;2;20;
0.0000;1;1;16;2;20;
1245.1599;1;1;32;2;20;
0.0000;1;1;12;2;20;
12.1979;1;1;8;3;2;
16.8509;1;1;16;3;2;
17.7460;1;1;32;3;2;
18.7195;1;1;12;3;2;
66.6436;1;1;8;3;4;
55.2665;1;1;16;3;4;
53.1744;1;1;32;3;4;
74.3550;1;1;12;3;4;
112.5438;1;1;8;3;6;
108.9951;1;1;16;3;6;
139.5927;1;1;32;3;6;
134.7991;1;1;12;3;6;
196.8889;1;1;8;3;8;
193.4595;1;1;16;3;8;
195.2356;1;1;32;3;8;
214.7665;1;1;12;3;8;
301.2679;1;1;8;3;10;
302.4998;1;1;16;3;10;
305.3091;1;1;32;3;10;
335.6347;1;1;12;3;10;
433.5822;1;1;8;3;12;
435.9173;1;1;16;3;12;
440.4068;1;1;32;3;12;
483.4213;1;1;12;3;12;
589.3986;1;1;8;3;14;
594.3738;1;1;16;3;14;
601.3117;1;1;32;3;14;
659.3861;1;1;12;3;14;
0.0000;1;1;8;3;16;
777.6566;1;1;16;3;16;
788.0569;1;1;32;3;16;
862.2994;1;1;12;3;16;
0.0000;1;1;8;3;18;
985.6163;1;1;16;3;18;
1000.4893;1;1;32;3;18;
0.0000;1;1;12;3;18;
0.0000;1;1;8;3;20;
0.0000;1;1;16;3;20;
1240.5076;1;1;32;3;20;
0.0000;1;1;12;3;20;
12.2439;1;1;8;4;2;
16.8105;1;1;16;4;2;
17.8411;1;1;32;4;2;
18.6838;1;1;12;4;2;
66.9105;1;1;8;4;4;
54.6650;1;1;16;4;4;
53.1503;1;1;32;4;4;
54.9334;1;1;12;4;4;
150.5406;1;1;8;4;6;
108.6534;1;1;16;4;6;
111.0342;1;1;32;4;6;
120.7304;1;1;12;4;6;
193.2497;1;1;8;4;8;
192.8296;1;1;16;4;8;
196.9358;1;1;32;4;8;
214.2079;1;1;12;4;8;
301.4893;1;1;8;4;10;
301.4589;1;1;16;4;10;
308.1720;1;1;32;4;10;
334.6434;1;1;12;4;10;
434.6344;1;1;8;4;12;
434.5101;1;1;16;4;12;
444.0626;1;1;32;4;12;
481.8680;1;1;12;4;12;
591.3552;1;1;8;4;14;
591.7557;1;1;16;4;14;
606.4561;1;1;32;4;14;
656.9561;1;1;12;4;14;
0.0000;1;1;8;4;16;
774.2319;1;1;16;4;16;
794.6884;1;1;32;4;16;
859.4511;1;1;12;4;16;
0.0000;1;1;8;4;18;
981.8817;1;1;16;4;18;
1009.3102;1;1;32;4;18;
1089.5017;1;1;12;4;18;
0.0000;1;1;8;4;20;
1214.7120;1;1;16;4;20;
1250.4128;1;1;32;4;20;
0.0000;1;1;12;4;20;
12.1427;1;1;8;5;2;
16.9058;1;1;16;5;2;
0.0116;1;1;32;5;2;
18.5379;1;1;12;5;2;
66.7811;1;1;8;5;4;
55.7381;1;1;16;5;4;
0.0131;1;1;32;5;4;
73.5612;1;1;12;5;4;
114.7078;1;1;8;5;6;
108.8741;1;1;16;5;6;
0.0133;1;1;32;5;6;
148.5028;1;1;12;5;6;
192.5900;1;1;8;5;8;
193.8446;1;1;16;5;8;
0.0130;1;1;32;5;8;
242.9633;1;1;12;5;8;
301.2922;1;1;8;5;10;
303.4752;1;1;16;5;10;
0.0128;1;1;32;5;10;
332.2556;1;1;12;5;10;
434.1031;1;1;8;5;12;
437.6581;1;1;16;5;12;
0.0137;1;1;32;5;12;
479.1903;1;1;12;5;12;
591.5748;1;1;8;5;14;
596.8990;1;1;16;5;14;
0.0129;1;1;32;5;14;
707.1556;1;1;12;5;14;
773.5452;1;1;8;5;16;
781.3918;1;1;16;5;16;
0.0133;1;1;32;5;16;
889.1259;1;1;12;5;16;
0.0000;1;1;8;5;18;
990.8560;1;1;16;5;18;
0.0134;1;1;32;5;18;
1152.3809;1;1;12;5;18;
0.0000;1;1;8;5;20;
1225.6189;1;1;16;5;20;
0.0137;1;1;32;5;20;
0.0000;1;1;12;5;20;
12.1034;1;1;8;6;2;
16.6481;1;1;16;6;2;
0.0130;1;1;32;6;2;
18.5424;1;1;12;6;2;
66.5394;1;1;8;6;4;
54.8862;1;1;16;6;4;
0.0125;1;1;32;6;4;
73.5815;1;1;12;6;4;
111.4872;1;1;8;6;6;
109.6550;1;1;16;6;6;
0.0131;1;1;32;6;6;
150.5960;1;1;12;6;6;
191.8770;1;1;8;6;8;
190.7599;1;1;16;6;8;
0.0131;1;1;32;6;8;
212.4234;1;1;12;6;8;
300.0628;1;1;8;6;10;
298.5914;1;1;16;6;10;
0.0136;1;1;32;6;10;
383.6354;1;1;12;6;10;
432.5056;1;1;8;6;12;
430.8452;1;1;16;6;12;
0.0129;1;1;32;6;12;
532.7747;1;1;12;6;12;
589.2811;1;1;8;6;14;
587.4764;1;1;16;6;14;
0.0124;1;1;32;6;14;
695.6362;1;1;12;6;14;
770.2007;1;1;8;6;16;
768.9554;1;1;16;6;16;
0.0121;1;1;32;6;16;
898.2821;1;1;12;6;16;
975.9636;1;1;8;6;18;
974.9699;1;1;16;6;18;
0.0124;1;1;32;6;18;
1083.3965;1;1;12;6;18;
0.0000;1;1;8;6;20;
1206.2004;1;1;16;6;20;
0.0145;1;1;32;6;20;
1406.6173;1;1;12;6;20;
12.0960;1;1;8;7;2;
16.7838;1;1;16;7;2;
0.0135;1;1;32;7;2;
18.4882;1;1;12;7;2;
66.5167;1;1;8;7;4;
65.9854;1;1;16;7;4;
0.0122;1;1;32;7;4;
73.3756;1;1;12;7;4;
114.1522;1;1;8;7;6;
107.0025;1;1;16;7;6;
0.0125;1;1;32;7;6;
151.8781;1;1;12;7;6;
191.6906;1;1;8;7;8;
190.5172;1;1;16;7;8;
0.0130;1;1;32;7;8;
211.8163;1;1;12;7;8;
299.7669;1;1;8;7;10;
298.0726;1;1;16;7;10;
0.0129;1;1;32;7;10;
399.3081;1;1;12;7;10;
432.0712;1;1;8;7;12;
429.8594;1;1;16;7;12;
0.0121;1;1;32;7;12;
522.2193;1;1;12;7;12;
588.5610;1;1;8;7;14;
586.1811;1;1;16;7;14;
0.0132;1;1;32;7;14;
684.5101;1;1;12;7;14;
769.3027;1;1;8;7;16;
767.1046;1;1;16;7;16;
0.0130;1;1;32;7;16;
902.2443;1;1;12;7;16;
975.9330;1;1;8;7;18;
973.3416;1;1;16;7;18;
0.0133;1;1;32;7;18;
1115.0793;1;1;12;7;18;
0.0000;1;1;8;7;20;
1203.9661;1;1;16;7;20;
0.0136;1;1;32;7;20;
1384.0293;1;1;12;7;20;
12.0629;1;1;8;8;2;
16.9684;1;1;16;8;2;
0.0132;1;1;32;8;2;
18.4359;1;1;12;8;2;
66.3060;1;1;8;8;4;
66.7468;1;1;16;8;4;
0.0118;1;1;32;8;4;
71.6834;1;1;12;8;4;
148.7648;1;1;8;8;6;
108.3121;1;1;16;8;6;
0.0136;1;1;32;8;6;
156.0396;1;1;12;8;6;
191.1344;1;1;8;8;8;
192.8984;1;1;16;8;8;
0.0133;1;1;32;8;8;
242.0929;1;1;12;8;8;
298.9337;1;1;8;8;10;
301.8113;1;1;16;8;10;
0.0128;1;1;32;8;10;
360.5673;1;1;12;8;10;
430.9517;1;1;8;8;12;
435.1195;1;1;16;8;12;
0.0127;1;1;32;8;12;
542.1745;1;1;12;8;12;
587.1198;1;1;8;8;14;
593.7111;1;1;16;8;14;
0.0130;1;1;32;8;14;
703.5330;1;1;12;8;14;
767.7928;1;1;8;8;16;
777.4210;1;1;16;8;16;
0.0131;1;1;32;8;16;
898.1976;1;1;12;8;16;
972.5187;1;1;8;8;18;
985.1309;1;1;16;8;18;
0.0129;1;1;32;8;18;
1122.9991;1;1;12;8;18;
0.0000;1;1;8;8;20;
1219.2426;1;1;16;8;20;
0.0130;1;1;32;8;20;
1385.5883;1;1;12;8;20;
29.6721;1;0;8;1;2;
41.1272;1;0;16;1;2;
41.0926;1;0;32;1;2;
41.0925;1;0;12;1;2;
113.0915;1;0;8;1;4;
81.8420;1;0;16;1;4;
81.8408;1;0;32;1;4;
81.8411;1;0;12;1;4;
159.9022;1;0;8;1;6;
159.8931;1;0;16;1;6;
159.9199;1;0;32;1;6;
159.9034;1;0;12;1;6;
263.8914;1;0;8;1;8;
263.8487;1;0;16;1;8;
263.8781;1;0;32;1;8;
263.8842;1;0;12;1;8;
393.6490;1;0;8;1;10;
393.6898;1;0;16;1;10;
393.6827;1;0;32;1;10;
393.6333;1;0;12;1;10;
549.3477;1;0;8;1;12;
549.4204;1;0;16;1;12;
549.4042;1;0;32;1;12;
549.3739;1;0;12;1;12;
731.3477;1;0;8;1;14;
731.2601;1;0;16;1;14;
731.2198;1;0;32;1;14;
731.3120;1;0;12;1;14;
939.3422;1;0;8;1;16;
939.2020;1;0;16;1;16;
939.2316;1;0;32;1;16;
939.2968;1;0;12;1;16;
1173.3806;1;0;8;1;18;
1173.6141;1;0;16;1;18;
1173.5488;1;0;32;1;18;
1173.5081;1;0;12;1;18;
1433.9124;1;0;8;1;20;
1433.7006;1;0;16;1;20;
1433.7505;1;0;32;1;20;
1433.6212;1;0;12;1;20;
29.6737;1;0;8;2;2;
41.1392;1;0;16;2;2;
41.0942;1;0;32;2;2;
41.0957;1;0;12;2;2;
112.3783;1;0;8;2;4;
81.8343;1;0;16;2;4;
81.8344;1;0;32;2;4;
81.8364;1;0;12;2;4;
218.8293;1;0;8;2;6;
159.8807;1;0;16;2;6;
159.8961;1;0;32;2;6;
159.9266;1;0;12;2;6;
263.8444;1;0;8;2;8;
263.8437;1;0;16;2;8;
263.8582;1;0;32;2;8;
263.8658;1;0;12;2;8;
393.6782;1;0;8;2;10;
393.6668;1;0;16;2;10;
393.7154;1;0;32;2;10;
393.6492;1;0;12;2;10;
549.3610;1;0;8;2;12;
549.4032;1;0;16;2;12;
549.3633;1;0;32;2;12;
549.3771;1;0;12;2;12;
731.3196;1;0;8;2;14;
731.3135;1;0;16;2;14;
731.3992;1;0;32;2;14;
731.2831;1;0;12;2;14;
939.3605;1;0;8;2;16;
939.3777;1;0;16;2;16;
939.2695;1;0;32;2;16;
939.3771;1;0;12;2;16;
1173.4962;1;0;8;2;18;
1173.5028;1;0;16;2;18;
1173.5969;1;0;32;2;18;
1173.5724;1;0;12;2;18;
1433.7324;1;0;8;2;20;
1433.7666;1;0;16;2;20;
1433.6755;1;0;32;2;20;
1433.6029;1;0;12;2;20;
29.6701;1;0;8;3;2;
41.0966;1;0;16;3;2;
41.0981;1;0;32;3;2;
41.1054;1;0;12;3;2;
108.6735;1;0;8;3;4;
81.8329;1;0;16;3;4;
81.8299;1;0;32;3;4;
81.8244;1;0;12;3;4;
159.8818;1;0;8;3;6;
159.8916;1;0;16;3;6;
159.8960;1;0;32;3;6;
159.9194;1;0;12;3;6;
263.8655;1;0;8;3;8;
263.8367;1;0;16;3;8;
263.8457;1;0;32;3;8;
263.8885;1;0;12;3;8;
393.6372;1;0;8;3;10;
393.6600;1;0;16;3;10;
393.6462;1;0;32;3;10;
393.6256;1;0;12;3;10;
549.3828;1;0;8;3;12;
549.3395;1;0;16;3;12;
549.3518;1;0;32;3;12;
549.3138;1;0;12;3;12;
731.1907;1;0;8;3;14;
731.1725;1;0;16;3;14;
731.2224;1;0;32;3;14;
731.2615;1;0;12;3;14;
939.2680;1;0;8;3;16;
939.2719;1;0;16;3;16;
939.1933;1;0;32;3;16;
939.1512;1;0;12;3;16;
1173.4561;1;0;8;3;18;
1173.3344;1;0;16;3;18;
1173.4243;1;0;32;3;18;
1173.2616;1;0;12;3;18;
1433.7427;1;0;8;3;20;
1433.4856;1;0;16;3;20;
1433.6770;1;0;32;3;20;
1433.9392;1;0;12;3;20;
29.6667;1;0;8;4;2;
38.6275;1;0;16;4;2;
41.0873;1;0;32;4;2;
41.0891;1;0;12;4;2;
107.6561;1;0;8;4;4;
88.8419;1;0;16;4;4;
81.8233;1;0;32;4;4;
112.4033;1;0;12;4;4;
159.8895;1;0;8;4;6;
159.8798;1;0;16;4;6;
159.8912;1;0;32;4;6;
159.8923;1;0;12;4;6;
263.8678;1;0;8;4;8;
263.8527;1;0;16;4;8;
263.8448;1;0;32;4;8;
263.8831;1;0;12;4;8;
393.6102;1;0;8;4;10;
393.6072;1;0;16;4;10;
393.6580;1;0;32;4;10;
393.6185;1;0;12;4;10;
549.4133;1;0;8;4;12;
549.2939;1;0;16;4;12;
549.4125;1;0;32;4;12;
549.3843;1;0;12;4;12;
731.2634;1;0;8;4;14;
731.2232;1;0;16;4;14;
731.3706;1;0;32;4;14;
731.3214;1;0;12;4;14;
939.4855;1;0;8;4;16;
939.2221;1;0;16;4;16;
939.1560;1;0;32;4;16;
939.2554;1;0;12;4;16;
1173.3813;1;0;8;4;18;
1173.4720;1;0;16;4;18;
1173.5205;1;0;32;4;18;
1173.3136;1;0;12;4;18;
1433.5980;1;0;8;4;20;
1433.8236;1;0;16;4;20;
1433.5365;1;0;32;4;20;
1433.6840;1;0;12;4;20;
29.6706;1;0;8;5;2;
29.6719;1;0;16;5;2;
0.0130;1;0;32;5;2;
41.0973;1;0;12;5;2;
112.4763;1;0;8;5;4;
81.8372;1;0;16;5;4;
0.0131;1;0;32;5;4;
108.4999;1;0;12;5;4;
187.0942;1;0;8;5;6;
159.8740;1;0;16;5;6;
0.0127;1;0;32;5;6;
188.3603;1;0;12;5;6;
263.8926;1;0;8;5;8;
263.8826;1;0;16;5;8;
0.0125;1;0;32;5;8;
293.3940;1;0;12;5;8;
393.6498;1;0;8;5;10;
393.6796;1;0;16;5;10;
0.0125;1;0;32;5;10;
447.2281;1;0;12;5;10;
549.3640;1;0;8;5;12;
549.3292;1;0;16;5;12;
0.0128;1;0;32;5;12;
603.4423;1;0;12;5;12;
731.3482;1;0;8;5;14;
731.3461;1;0;16;5;14;
0.0144;1;0;32;5;14;
781.4941;1;0;12;5;14;
939.3079;1;0;8;5;16;
939.2628;1;0;16;5;16;
0.0135;1;0;32;5;16;
988.7269;1;0;12;5;16;
1173.2966;1;0;8;5;18;
1173.4138;1;0;16;5;18;
0.0135;1;0;32;5;18;
1218.8110;1;0;12;5;18;
1433.4047;1;0;8;5;20;
1433.7712;1;0;16;5;20;
0.0127;1;0;32;5;20;
1487.3250;1;0;12;5;20;
29.6694;1;0;8;6;2;
41.1283;1;0;16;6;2;
0.0124;1;0;32;6;2;
41.0870;1;0;12;6;2;
112.3494;1;0;8;6;4;
81.8466;1;0;16;6;4;
0.0133;1;0;32;6;4;
81.8301;1;0;12;6;4;
159.9109;1;0;8;6;6;
159.8970;1;0;16;6;6;
0.0126;1;0;32;6;6;
205.8762;1;0;12;6;6;
263.8636;1;0;8;6;8;
263.8798;1;0;16;6;8;
0.0134;1;0;32;6;8;
323.2453;1;0;12;6;8;
393.6664;1;0;8;6;10;
393.6488;1;0;16;6;10;
0.0118;1;0;32;6;10;
447.1918;1;0;12;6;10;
549.4553;1;0;8;6;12;
549.3727;1;0;16;6;12;
0.0128;1;0;32;6;12;
589.2769;1;0;12;6;12;
731.2556;1;0;8;6;14;
731.1783;1;0;16;6;14;
0.0132;1;0;32;6;14;
771.7170;1;0;12;6;14;
939.1848;1;0;8;6;16;
939.3451;1;0;16;6;16;
0.0134;1;0;32;6;16;
1005.1332;1;0;12;6;16;
1173.5389;1;0;8;6;18;
1173.4817;1;0;16;6;18;
0.0128;1;0;32;6;18;
1198.1595;1;0;12;6;18;
1433.5197;1;0;8;6;20;
1433.5798;1;0;16;6;20;
0.0132;1;0;32;6;20;
1487.3160;1;0;12;6;20;
29.6776;1;0;8;7;2;
41.1322;1;0;16;7;2;
0.0116;1;0;32;7;2;
41.0923;1;0;12;7;2;
112.3270;1;0;8;7;4;
81.8377;1;0;16;7;4;
0.0130;1;0;32;7;4;
84.8840;1;0;12;7;4;
216.9721;1;0;8;7;6;
159.9141;1;0;16;7;6;
0.0141;1;0;32;7;6;
190.1609;1;0;12;7;6;
263.8640;1;0;8;7;8;
263.8434;1;0;16;7;8;
0.0129;1;0;32;7;8;
293.6329;1;0;12;7;8;
393.6228;1;0;8;7;10;
393.6417;1;0;16;7;10;
0.0132;1;0;32;7;10;
443.4322;1;0;12;7;10;
549.3055;1;0;8;7;12;
549.4146;1;0;16;7;12;
0.0124;1;0;32;7;12;
596.3201;1;0;12;7;12;
731.3032;1;0;8;7;14;
731.2366;1;0;16;7;14;
0.0134;1;0;32;7;14;
731.3848;1;0;12;7;14;
939.3066;1;0;8;7;16;
939.3831;1;0;16;7;16;
0.0131;1;0;32;7;16;
993.0833;1;0;12;7;16;
1173.4415;1;0;8;7;18;
1173.4504;1;0;16;7;18;
0.0131;1;0;32;7;18;
1201.5376;1;0;12;7;18;
1433.5729;1;0;8;7;20;
1433.7308;1;0;16;7;20;
0.0137;1;0;32;7;20;
1485.7208;1;0;12;7;20;
29.6712;1;0;8;8;2;
29.6652;1;0;16;8;2;
0.0132;1;0;32;8;2;
41.0845;1;0;12;8;2;
111.4132;1;0;8;8;4;
107.6864;1;0;16;8;4;
0.0125;1;0;32;8;4;
112.4373;1;0;12;8;4;
159.8873;1;0;8;8;6;
159.9104;1;0;16;8;6;
0.0132;1;0;32;8;6;
187.2491;1;0;12;8;6;
263.8452;1;0;8;8;8;
263.8293;1;0;16;8;8;
0.0134;1;0;32;8;8;
300.8594;1;0;12;8;8;
393.6756;1;0;8;8;10;
393.6432;1;0;16;8;10;
0.0129;1;0;32;8;10;
393.6454;1;0;12;8;10;
549.3629;1;0;8;8;12;
549.4175;1;0;16;8;12;
0.0145;1;0;32;8;12;
602.3079;1;0;12;8;12;
731.2903;1;0;8;8;14;
731.3659;1;0;16;8;14;
0.0134;1;0;32;8;14;
785.2552;1;0;12;8;14;
939.3036;1;0;8;8;16;
939.3508;1;0;16;8;16;
0.0133;1;0;32;8;16;
992.8149;1;0;12;8;16;
1173.3918;1;0;8;8;18;
1173.6450;1;0;16;8;18;
0.0131;1;0;32;8;18;
1230.4473;1;0;12;8;18;
1433.6370;1;0;8;8;20;
1433.7792;1;0;16;8;20;
0.0132;1;0;32;8;20;
1501.3491;1;0;12;8;20;
